,CLIENT_ID,RETRO_DT,TARGET,number_of_friends
184,1465339,20210501,1,96
185,1465996,20210501,0,100
186,1466270,20210501,test,50
187,1466379,20210501,0,100
188,1466449,20210501,1,100
189,1466602,20210501,0,100
190,1467650,20210501,test,100
191,1468081,20210501,0,57
192,1468667,20210501,test,100
193,1468722,20210501,0,18
194,1468833,20210501,0,1
195,1468855,20210501,0,10
196,1469493,20210501,0,100
197,1470302,20210501,0,37
198,1470331,20210501,0,100
199,1470464,20210501,1,15
200,1470799,20210501,test,70
201,1470946,20210501,0,100
202,1471377,20210501,0,100
203,1471722,20210501,0,18
204,1471804,20210501,1,100
205,1472027,20210501,1,100
206,1472168,20210501,test,100
207,1472391,20210501,test,100
208,1472569,20210501,1,100
209,1472661,20210501,0,100
210,1472971,20210501,test,6
211,1473255,20210501,0,5
212,1473484,20210501,1,100
213,1473764,20210501,test,100
214,1473925,20210501,0,99
215,1474259,20210501,1,79
216,1474311,20210501,0,59
217,1474568,20210501,0,16
218,1474597,20210501,1,100
219,1474914,20210501,0,100
220,1475981,20210501,0,100
221,1475988,20210501,0,2
222,1477645,20210501,0,100
223,1477718,20210501,test,100
224,1477924,20210501,0,33
225,1481222,20210501,0,40
226,1483747,20210501,test,16
227,1485618,20210501,0,40
228,1487809,20210501,test,93
229,1493363,20210501,0,12
230,1494212,20210501,0,100
231,1494704,20210501,0,48
232,1495063,20210501,test,32
233,1496778,20210501,1,100
234,1497527,20210501,1,44
235,1497533,20210501,1,100
236,1497566,20210501,1,97
237,1497701,20210501,1,1
238,1498059,20210501,0,100
239,1498658,20210501,test,100
240,1498927,20210501,0,82
241,1499314,20210501,0,5
242,1499699,20210501,test,13
243,1499948,20210501,1,23
244,1500127,20210501,0,4
245,1501030,20210501,test,100
246,1501063,20210501,test,100
247,1502852,20210501,0,100
248,1502889,20210501,0,100
249,1503180,20210501,1,100
250,1503261,20210501,test,11
251,1503323,20210501,0,100
252,1503503,20210501,0,1
253,1503713,20210501,0,100
254,1503791,20210501,0,100
255,1503792,20210501,0,75
256,1503793,20210501,0,74
257,1503794,20210501,1,81
258,1503795,20210501,0,24
259,1503813,20210501,1,100
260,1503817,20210501,1,93
261,1503819,20210501,0,100
262,1503820,20210501,0,100
263,1503821,20210501,0,100
264,1503822,20210501,1,100
265,1503824,20210501,0,46
266,1503830,20210501,0,68
267,1503831,20210501,0,83
268,1503832,20210501,0,65
269,1503838,20210501,test,100
270,1503849,20210501,test,100
271,1503850,20210501,0,100
272,1503851,20210501,0,100
273,1503857,20210501,0,100
274,1503858,20210501,0,62
275,1503859,20210501,0,100
276,1503860,20210501,0,100
277,1503866,20210501,test,100
278,1503868,20210501,0,95
279,1503869,20210501,1,99
280,1503885,20210501,0,93
281,1503888,20210501,test,95
282,1503890,20210501,0,100
283,1503896,20210501,1,100
284,1503897,20210501,test,100
285,1503899,20210501,test,100
286,1503904,20210501,test,100
287,1503908,20210501,0,100
288,1503909,20210501,0,69
289,1503910,20210501,1,100
290,1503913,20210501,test,100
291,1503921,20210501,0,100
292,1503926,20210501,0,37
293,1503939,20210501,0,9
294,1503958,20210501,1,100
295,1503976,20210501,0,100
296,1503995,20210501,0,100
297,1504003,20210501,0,73
298,1504004,20210501,0,76
299,1504014,20210501,1,100
300,1504015,20210501,0,45
301,1504019,20210501,1,100
302,1504031,20210501,test,45
303,1504035,20210501,test,65
304,1504041,20210501,test,48
305,1504042,20210501,0,100
306,1504064,20210501,0,100
307,1504071,20210501,0,91
308,1504076,20210501,0,49
309,1504084,20210501,test,62
310,1504094,20210501,test,22
311,1504095,20210501,test,100
312,1504097,20210501,1,16
313,1504104,20210501,0,100
314,1504105,20210501,0,28
315,1504123,20210501,test,98
316,1504129,20210501,test,100
317,1504130,20210501,1,40
318,1504131,20210501,0,30
319,1504132,20210501,0,100
320,1504133,20210501,0,100
321,1504134,20210501,test,26
322,1504135,20210501,0,100
323,1504145,20210501,0,6
324,1504146,20210501,0,52
325,1504148,20210501,test,100
326,1504162,20210501,0,100
327,1504165,20210501,test,100
328,1504168,20210501,test,13
329,1504170,20210501,0,100
330,1504171,20210501,test,49
331,1504180,20210501,1,100
332,1504193,20210501,0,92
333,1504197,20210501,test,84
334,1504222,20210501,test,100
335,1504223,20210501,test,100
336,1504224,20210501,0,100
337,1504227,20210501,0,89
338,1504228,20210501,1,100
339,1504235,20210501,0,12
340,1504241,20210501,0,100
341,1504249,20210501,1,30
342,1504256,20210501,0,100
343,1504257,20210501,0,44
344,1504258,20210501,1,100
345,1504259,20210501,0,20
346,1504264,20210501,test,75
347,1504288,20210501,0,28
348,1504289,20210501,0,100
349,1504290,20210501,1,100
350,1504291,20210501,1,100
351,1504294,20210501,0,100
352,1504307,20210501,1,100
353,1504312,20210501,0,27
354,1504314,20210501,0,100
355,1504315,20210501,0,100
356,1504316,20210501,1,100
357,1504317,20210501,0,100
358,1504321,20210501,test,100
359,1504324,20210501,0,100
360,1504334,20210501,0,100
361,1504335,20210501,0,79
362,1504345,20210501,0,30
363,1504348,20210501,0,100
364,1504349,20210501,0,100
365,1504351,20210501,0,82
366,1504352,20210501,test,100
367,1504357,20210501,test,100
368,1504358,20210501,0,41
369,1504359,20210501,0,100
370,1504360,20210501,1,100
371,1504363,20210501,1,100
372,1504377,20210501,0,60
373,1504387,20210501,0,100
374,1504388,20210501,1,68
375,1504390,20210501,0,100
376,1504391,20210501,0,16
377,1504393,20210501,0,100
378,1504394,20210501,0,15
379,1504395,20210501,test,53
380,1504396,20210501,0,100
381,1504398,20210501,0,100
382,1504415,20210501,0,100
383,1504417,20210501,0,100
384,1504418,20210501,0,72
385,1504427,20210501,1,100
386,1504428,20210501,0,100
387,1504431,20210501,0,45
388,1504434,20210501,0,100
389,1504435,20210501,0,85
390,1504436,20210501,0,100
391,1504437,20210501,test,72
392,1504450,20210501,0,100
393,1504451,20210501,0,100
394,1504460,20210501,0,100
395,1504462,20210501,0,100
396,1504465,20210501,1,100
397,1504477,20210501,0,100
398,1504478,20210501,0,100
399,1504480,20210501,0,99
400,1504493,20210501,0,100
401,1504494,20210501,0,100
402,1504496,20210501,0,100
403,1504498,20210501,1,100
404,1504500,20210501,0,26
405,1504501,20210501,0,81
406,1504516,20210501,0,100
407,1504517,20210501,test,99
408,1504530,20210501,0,100
409,1504531,20210501,0,3
410,1504535,20210501,0,2
411,1504536,20210501,0,57
412,1504537,20210501,0,58
413,1504540,20210501,test,100
414,1504559,20210501,0,22
415,1504568,20210501,0,66
416,1504569,20210501,0,100
417,1504570,20210501,0,14
418,1504574,20210501,0,51
419,1504577,20210501,1,100
420,1504593,20210501,1,100
421,1504596,20210501,test,100
422,1504597,20210501,0,2
423,1504613,20210501,0,100
424,1504615,20210501,0,61
425,1504624,20210501,1,100
426,1504629,20210501,1,100
427,1504635,20210501,0,65
428,1504646,20210501,0,92
429,1504647,20210501,1,13
430,1504648,20210501,1,100
431,1504649,20210501,0,100
432,1504653,20210501,1,100
433,1504658,20210501,0,48
434,1504662,20210501,0,66
435,1504664,20210501,0,100
436,1504665,20210501,0,37
437,1504673,20210501,0,98
438,1504674,20210501,test,100
439,1504685,20210501,0,22
440,1504686,20210501,0,51
441,1504687,20210501,test,100
442,1504688,20210501,0,100
443,1504699,20210501,0,99
444,1504700,20210501,0,28
445,1504701,20210501,0,100
446,1504705,20210501,0,7
447,1504709,20210501,test,100
448,1504712,20210501,0,100
449,1504724,20210501,0,10
450,1504725,20210501,1,100
451,1504726,20210501,0,73
452,1504727,20210501,test,100
453,1504733,20210501,0,63
454,1504734,20210501,1,100
455,1504735,20210501,test,100
456,1504753,20210501,0,100
457,1504754,20210501,0,2
458,1504757,20210501,0,100
459,1504758,20210501,test,1
460,1504765,20210501,0,79
461,1504774,20210501,test,31
462,1504779,20210501,0,58
463,1504780,20210501,0,39
464,1504795,20210501,1,59
465,1504808,20210501,0,100
466,1504810,20210501,test,51
467,1504811,20210501,1,41
468,1504812,20210501,0,100
469,1504813,20210501,0,100
470,1504821,20210501,0,100
471,1504837,20210501,0,100
472,1504838,20210501,0,100
473,1504839,20210501,test,100
474,1504850,20210501,0,94
475,1504853,20210501,1,100
476,1504855,20210501,0,100
477,1504856,20210501,0,100
478,1504860,20210501,0,47
479,1504868,20210501,0,100
480,1504874,20210501,0,19
481,1504903,20210501,1,100
482,1504905,20210501,0,70
483,1504906,20210501,0,55
484,1504907,20210501,1,100
485,1504916,20210501,test,100
486,1504933,20210501,0,100
487,1504934,20210501,1,100
488,1504937,20210501,0,100
489,1504958,20210501,0,100
490,1504968,20210501,1,100
491,1504969,20210501,0,30
492,1504970,20210501,1,100
493,1504973,20210501,1,32
494,1504987,20210501,0,100
495,1504998,20210501,1,100
496,1505003,20210501,test,100
497,1505008,20210501,0,85
498,1505034,20210501,0,100
499,1505043,20210501,test,1
500,1505044,20210501,0,85
501,1505055,20210501,0,10
502,1505056,20210501,test,47
503,1505057,20210501,test,20
504,1505058,20210501,test,100
505,1505059,20210501,test,100
506,1505063,20210501,0,32
507,1505064,20210501,0,99
508,1505079,20210501,0,51
509,1505087,20210501,0,100
510,1505088,20210501,test,100
511,1505090,20210501,1,88
512,1505091,20210501,1,1
513,1505109,20210501,1,39
514,1505121,20210501,0,100
515,1505131,20210501,1,100
516,1505151,20210501,0,100
517,1505152,20210501,test,100
518,1505162,20210501,1,100
519,1505169,20210501,1,80
520,1505170,20210501,1,100
521,1505180,20210501,0,43
522,1505182,20210501,test,37
523,1505184,20210501,0,15
524,1505185,20210501,0,100
525,1505186,20210501,0,44
526,1505196,20210501,1,2
527,1505199,20210501,0,100
528,1505200,20210501,0,40
529,1505204,20210501,1,100
530,1505205,20210501,1,80
531,1505206,20210501,test,3
532,1505207,20210501,0,100
533,1505214,20210501,0,100
534,1505228,20210501,0,100
535,1505229,20210501,0,100
536,1505235,20210501,0,100
537,1505239,20210501,1,41
538,1505241,20210501,0,100
539,1505244,20210501,0,28
540,1505250,20210501,0,100
541,1505268,20210501,test,100
542,1505269,20210501,test,2
543,1505276,20210501,0,100
544,1505277,20210501,0,69
545,1505278,20210501,test,15
546,1505280,20210501,1,100
547,1505283,20210501,0,100
548,1505292,20210501,0,100
549,1505305,20210501,1,100
550,1505327,20210501,test,71
551,1505335,20210501,1,99
552,1505348,20210501,0,48
553,1505357,20210501,0,100
554,1505358,20210501,1,97
555,1505359,20210501,0,100
556,1505387,20210501,0,100
557,1505402,20210501,0,100
558,1505403,20210501,0,5
559,1505404,20210501,0,100
560,1505440,20210501,test,100
561,1505443,20210501,1,62
562,1505512,20210501,0,12
563,1505568,20210501,test,100
564,1505569,20210501,0,100
565,1505579,20210501,1,100
566,1505600,20210501,0,100
567,1505646,20210501,0,96
568,1505664,20210501,1,100
569,1505665,20210501,test,20
570,1505666,20210501,0,100
571,1505667,20210501,0,75
572,1505687,20210501,0,100
573,1505702,20210501,0,100
574,1505703,20210501,0,35
575,1505707,20210501,0,100
576,1505708,20210501,0,100
577,1505709,20210501,1,100
578,1505710,20210501,1,28
579,1505721,20210501,test,75
580,1505735,20210501,0,100
581,1505736,20210501,0,100
582,1505737,20210501,1,29
583,1505738,20210501,0,100
584,1505761,20210501,0,68
585,1505779,20210501,test,100
586,1505800,20210501,0,46
587,1505802,20210501,0,100
588,1505803,20210501,0,100
589,1505833,20210501,1,100
590,1505836,20210501,1,34
591,1505851,20210501,test,100
592,1505855,20210501,0,48
593,1505867,20210501,1,100
594,1505869,20210501,1,100
595,1505870,20210501,1,100
596,1505871,20210501,0,100
597,1505872,20210501,0,96
598,1505884,20210501,0,100
599,1505885,20210501,1,100
600,1505909,20210501,test,6
601,1505940,20210501,0,87
602,1505944,20210501,0,100
603,1505948,20210501,test,59
604,1505949,20210501,0,92
605,1505950,20210501,1,100
606,1505956,20210501,0,100
607,1505975,20210501,test,100
608,1505976,20210501,0,100
609,1505980,20210501,0,100
610,1505982,20210501,0,100
611,1505983,20210501,test,88
612,1505984,20210501,test,100
613,1505986,20210501,0,100
614,1505987,20210501,0,100
615,1506007,20210501,test,37
616,1506012,20210501,0,34
617,1506013,20210501,1,99
618,1506016,20210501,0,86
619,1506017,20210501,0,99
620,1506018,20210501,0,100
621,1506026,20210501,0,100
622,1506034,20210501,0,100
623,1506038,20210501,1,100
624,1506040,20210501,0,52
625,1506043,20210501,0,100
626,1506054,20210501,0,74
627,1506060,20210501,0,19
628,1506061,20210501,1,1
629,1506062,20210501,test,100
630,1506074,20210501,0,100
631,1506075,20210501,1,42
632,1506088,20210501,0,100
633,1506089,20210501,0,18
634,1506091,20210501,0,22
635,1506101,20210501,test,100
636,1506111,20210501,0,100
637,1506112,20210501,0,17
638,1506116,20210501,1,100
639,1506133,20210501,0,49
640,1506134,20210501,test,21
641,1506145,20210501,test,100
642,1506146,20210501,test,100
643,1506150,20210501,0,100
644,1506151,20210501,1,100
645,1506152,20210501,test,100
646,1506154,20210501,0,99
647,1506156,20210501,0,100
648,1506172,20210501,0,100
649,1506173,20210501,0,100
650,1506174,20210501,1,100
651,1506176,20210501,test,100
652,1506182,20210501,0,100
653,1506192,20210501,test,100
654,1506199,20210501,1,61
655,1506200,20210501,test,100
656,1506204,20210501,0,51
657,1506205,20210501,1,100
658,1506227,20210501,0,8
659,1506228,20210501,1,44
660,1506229,20210501,0,100
661,1506230,20210501,0,100
662,1506231,20210501,1,31
663,1506238,20210501,0,100
664,1506248,20210501,1,98
665,1506249,20210501,0,100
666,1506253,20210501,test,100
667,1506265,20210501,0,98
668,1506269,20210501,0,100
669,1506270,20210501,0,31
670,1506300,20210501,0,32
671,1506301,20210501,0,3
672,1506303,20210501,0,100
673,1506304,20210501,1,15
674,1506305,20210501,0,21
675,1506318,20210501,1,100
676,1506341,20210501,test,100
677,1506344,20210501,0,100
678,1506345,20210501,1,12
679,1506349,20210501,0,100
680,1506350,20210501,0,7
681,1506359,20210501,0,45
682,1506368,20210501,test,100
683,1506372,20210501,1,100
684,1506373,20210501,test,100
685,1506374,20210501,0,17
686,1506379,20210501,test,88
687,1506380,20210501,0,47
688,1506382,20210501,0,43
689,1506388,20210501,0,100
690,1506389,20210501,0,100
691,1506390,20210501,0,100
692,1506403,20210501,1,100
693,1506404,20210501,0,85
694,1506405,20210501,0,100
695,1506407,20210501,test,87
696,1506408,20210501,0,100
697,1506413,20210501,0,100
698,1506414,20210501,1,86
699,1506415,20210501,0,100
700,1506437,20210501,0,100
701,1506438,20210501,0,100
702,1506443,20210501,1,100
703,1506444,20210501,test,47
704,1506452,20210501,0,100
705,1506453,20210501,0,100
706,1506478,20210501,0,82
707,1506479,20210501,0,100
708,1506484,20210501,0,100
709,1506490,20210501,test,100
710,1506492,20210501,0,100
711,1506514,20210501,test,92
712,1506521,20210501,1,12
713,1506542,20210501,test,100
714,1506551,20210501,1,100
715,1506568,20210501,0,100
716,1506569,20210501,0,100
717,1506570,20210501,0,1
718,1506576,20210501,test,24
719,1506577,20210501,0,100
720,1506610,20210501,1,100
721,1506611,20210501,test,55
722,1506638,20210501,1,99
723,1506646,20210501,test,100
724,1506666,20210501,1,100
725,1506671,20210501,test,86
726,1506672,20210501,test,100
727,1506673,20210501,1,100
728,1506693,20210501,0,100
729,1506694,20210501,test,68
730,1506698,20210501,test,100
731,1506729,20210501,test,32
732,1506730,20210501,test,100
733,1506731,20210501,1,18
734,1506732,20210501,0,100
735,1506733,20210501,test,100
736,1506764,20210501,0,100
737,1506765,20210501,1,2
738,1506770,20210501,0,100
739,1506790,20210501,test,100
740,1506791,20210501,0,100
741,1506792,20210501,0,39
742,1506793,20210501,test,100
743,1506799,20210501,0,100
744,1506800,20210501,1,91
745,1506801,20210501,test,25
746,1506803,20210501,1,1
747,1506820,20210501,0,85
748,1506829,20210501,0,100
749,1506830,20210501,1,87
750,1506832,20210501,test,38
751,1506833,20210501,0,10
752,1506835,20210501,1,100
753,1506857,20210501,1,78
754,1506858,20210501,0,62
755,1506859,20210501,test,100
756,1506861,20210501,0,100
757,1506864,20210501,0,14
758,1506866,20210501,1,100
759,1506897,20210501,1,29
760,1506915,20210501,test,100
761,1506923,20210501,1,24
762,1506925,20210501,1,2
763,1506927,20210501,0,80
764,1506928,20210501,1,100
765,1506939,20210501,0,100
766,1506954,20210501,test,100
767,1506967,20210501,0,100
768,1506971,20210501,test,83
769,1506978,20210501,0,100
770,1507001,20210501,1,8
771,1507003,20210501,0,100
772,1507016,20210501,0,52
773,1507017,20210501,0,25
774,1507018,20210501,0,64
775,1507037,20210501,1,100
776,1507041,20210501,test,100
777,1507074,20210501,test,100
778,1507078,20210501,0,100
779,1507116,20210501,1,100
780,1507117,20210501,1,100
781,1507118,20210501,0,99
782,1507119,20210501,test,98
783,1507120,20210501,test,100
784,1507123,20210501,test,100
785,1507124,20210501,0,100
786,1507140,20210501,test,98
787,1507141,20210501,test,37
788,1507157,20210501,test,8
789,1507187,20210501,1,52
790,1507192,20210501,0,24
791,1507208,20210501,test,100
792,1507213,20210501,0,100
793,1507231,20210501,1,100
794,1507235,20210501,0,100
795,1507241,20210501,0,34
796,1507242,20210501,test,44
797,1507243,20210501,1,100
798,1507264,20210501,0,99
799,1507269,20210501,1,100
800,1507301,20210501,0,23
801,1507305,20210501,0,1
802,1507328,20210501,0,100
803,1507331,20210501,1,100
804,1507344,20210501,0,9
805,1507359,20210501,test,100
806,1507360,20210501,0,99
807,1507364,20210501,1,100
808,1507368,20210501,1,18
809,1507375,20210501,0,32
810,1507401,20210501,1,100
811,1507403,20210501,0,100
812,1507404,20210501,1,100
813,1507411,20210501,0,12
814,1507434,20210501,0,76
815,1507448,20210501,0,100
816,1507470,20210501,0,99
817,1507471,20210501,1,2
818,1507479,20210501,1,100
819,1507485,20210501,0,82
820,1507486,20210501,0,100
821,1507497,20210501,0,100
822,1507511,20210501,0,23
823,1507512,20210501,0,100
824,1507513,20210501,0,86
825,1507514,20210501,0,100
826,1507520,20210501,0,100
827,1507524,20210501,0,7
828,1507537,20210501,1,47
829,1507543,20210501,0,35
830,1507544,20210501,test,100
831,1507554,20210501,0,100
832,1507555,20210501,0,62
833,1507556,20210501,0,100
834,1507560,20210501,1,98
835,1507570,20210501,1,100
836,1507571,20210501,test,100
837,1507584,20210501,0,100
838,1507585,20210501,1,100
839,1507587,20210501,test,100
840,1507589,20210501,0,100
841,1507606,20210501,1,100
842,1507607,20210501,0,58
843,1507612,20210501,test,100
844,1507618,20210501,1,100
845,1507623,20210501,0,100
846,1507625,20210501,0,100
847,1507626,20210501,0,100
848,1507628,20210501,1,44
849,1507629,20210501,0,17
850,1507637,20210501,0,100
851,1507652,20210501,test,91
852,1507653,20210501,0,100
853,1507654,20210501,1,100
854,1507656,20210501,0,37
855,1507658,20210501,0,83
856,1507659,20210501,test,94
857,1507660,20210501,1,100
858,1507661,20210501,test,100
859,1507663,20210501,1,100
860,1507664,20210501,1,12
861,1507695,20210501,0,100
862,1507696,20210501,0,100
863,1507697,20210501,test,20
864,1507727,20210501,1,100
865,1507742,20210501,1,54
866,1507743,20210501,0,4
867,1507758,20210501,0,44
868,1507759,20210501,0,100
869,1507760,20210501,test,100
870,1507767,20210501,0,100
871,1507768,20210501,1,100
872,1507778,20210501,0,51
873,1507781,20210501,0,100
874,1507783,20210501,test,92
875,1507790,20210501,0,82
876,1507791,20210501,test,13
877,1507795,20210501,1,3
878,1507796,20210501,0,50
879,1507797,20210501,1,100
880,1507804,20210501,0,13
881,1507810,20210501,0,80
882,1507812,20210501,1,100
883,1507813,20210501,0,100
884,1507815,20210501,test,100
885,1507819,20210501,0,100
886,1507829,20210501,0,100
887,1507834,20210501,test,22
888,1507835,20210501,0,100
889,1507837,20210501,0,100
890,1507839,20210501,0,100
891,1507840,20210501,0,60
892,1507849,20210501,0,21
893,1507853,20210501,0,83
894,1507856,20210501,1,93
895,1507858,20210501,1,100
896,1507860,20210501,0,99
897,1507861,20210501,0,100
898,1507862,20210501,test,8
899,1507863,20210501,0,100
900,1507885,20210501,0,100
901,1507896,20210501,0,71
902,1507897,20210501,test,100
903,1507903,20210501,test,9
904,1507907,20210501,test,8
905,1507908,20210501,0,100
906,1507909,20210501,0,46
907,1507910,20210501,test,100
908,1507914,20210501,0,100
909,1507923,20210501,1,100
910,1507939,20210501,0,8
911,1507942,20210501,1,100
912,1507943,20210501,test,22
913,1507944,20210501,0,27
914,1507945,20210501,1,100
915,1507946,20210501,0,17
916,1507947,20210501,0,99
917,1507948,20210501,1,3
918,1507950,20210501,0,100
919,1507971,20210501,0,100
920,1507979,20210501,0,22
921,1507983,20210501,0,40
922,1507985,20210501,1,100
923,1507986,20210501,0,100
924,1507987,20210501,test,65
925,1507990,20210501,test,38
926,1508007,20210501,test,100
927,1508011,20210501,test,100
928,1508013,20210501,test,30
929,1508020,20210501,0,25
930,1508030,20210501,1,100
931,1508032,20210501,test,3
932,1508042,20210501,0,100
933,1508043,20210501,0,65
934,1508045,20210501,0,100
935,1508047,20210501,test,98
936,1508048,20210501,1,100
937,1508049,20210501,1,100
938,1508050,20210501,0,100
939,1508051,20210501,1,67
940,164368,20210501,test,78
941,167657,20210501,0,100
942,167778,20210501,1,100
943,1686498,20210501,0,49
944,1700551,20210501,0,100
945,1701681,20210501,test,9
946,1701853,20210501,0,50
947,1703025,20210501,test,59
948,1704668,20210501,0,77
949,1705964,20210501,0,100
950,1706257,20210501,0,100
951,1708128,20210501,0,100
952,1709430,20210501,test,100
953,1709502,20210501,0,80
954,1710085,20210501,0,100
955,1710465,20210501,test,100
956,1710876,20210501,0,84
957,1713721,20210501,0,100
958,1715626,20210501,test,100
959,1716160,20210501,1,100
960,1716452,20210501,0,29
961,1716866,20210501,0,100
962,1718348,20210501,0,100
963,1718697,20210501,1,100
964,1721827,20210501,0,100
965,1722103,20210501,0,100
966,1722317,20210501,1,92
967,1723669,20210501,0,100
968,1723762,20210501,test,56
969,1723782,20210501,0,100
970,1723800,20210501,0,100
971,1723806,20210501,0,53
972,1723822,20210501,test,100
973,1723848,20210501,test,100
974,1723862,20210501,1,100
975,1723875,20210501,0,99
976,1723893,20210501,test,100
977,1723925,20210501,0,100
978,1727825,20210501,test,100
979,1729923,20210501,1,100
980,1732168,20210501,0,100
981,1732393,20210501,0,100
982,1732446,20210501,test,96
983,1732447,20210501,0,100
984,1732459,20210501,1,100
985,1732470,20210501,1,100
986,1732482,20210501,0,100
987,1732509,20210501,0,100
988,1732527,20210501,0,100
989,1732556,20210501,0,79
990,1732590,20210501,0,100
991,1732606,20210501,test,20
992,1737235,20210501,0,100
993,1737591,20210501,0,15
994,1738700,20210501,0,14
995,1740449,20210501,0,75
